no,Article_name,DOI,Dataset,Source Code,Open source frameworks or environment,Model architecture,Software and Hardware Specification,Methods,Hyper-parameters,Randomness,Averaging result,Evaluation metrics,Resources Information,Methodological Information,Statistical Information,Randomness Information,Level 1,Level 2,Level 3,Level 4,Level 5
46,Integrating multi-sensors data for species distribution mapping using deep learning and envelope models,https://doi.org/10.3390/rs13163284,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n
47,Automated conservation assessment of the orchid family with deep learning,https://doi.org/10.1111/cobi.13616,y,y,y,y,n,y,y,y,n,n,y,n,n,y,y,n,n,n,n
52,Extreme deep learning in biosecurity: the case of machine hearing for marine species identification,https://doi.org/10.1080/24751839.2018.1501542,n,n,y,y,n,y,n,n,y,y,n,n,y,n,n,n,n,n,n
53,"A continental-scale assessment of density, size, distribution and historical trends of farm dams using deep learning convolutional neural networks",https://doi.org/10.3390/rs13020319,y,n,y,y,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n
54,Recognition of Endemic Bird Species Using Deep Learning Models,https://doi.org/10.1109/ACCESS.2021.3098532,n,n,y,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n
56,Understanding deep learning in land use classification based on Sentinel-2 time series,https://doi.org/10.1038/s41598-020-74215-5,y,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n
58,Assessment of deep learning techniques for land use land cover classification in southern new Caledonia,https://doi.org/10.3390/rs13122257,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
61,Columnar cactus recognition in aerial images using a deep learning approach,https://doi.org/10.1016/j.ecoinf.2019.05.005,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
62,Applications of deep convolutional neural networks to digitized natural history collections,https://doi.org/10.3897%2FBDJ.5.e21139,n,y,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
63,Deep learning and citizen science enable automated plant trait predictions from photographs,https://doi.org/10.1038/s41598-021-95616-0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
64,Large-scale plant classification with deep neural networks,https://doi.org/10.1145/3075564.3075590,n,y,y,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n
65,Semantic segmentation of tree-canopy in urban environment with pixel-wise deep learning,https://doi.org/10.3390/rs13163054,y,n,y,y,y,y,y,n,n,y,n,y,n,n,n,n,n,n,n
66,Predicting animal behaviour using deep learning: GPS data alone accurately predict diving in seabirds,https://doi.org/10.1111/2041-210X.12926,y,n,y,y,n,y,n,n,y,y,n,n,y,n,n,n,n,n,n
67,Tree cover estimation in global drylands from space using deep learning,https://doi.org/10.3390/rs12030343,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
71,Vegetation detection using deep learning and conventional methods,https://doi.org/10.3390/rs12152502,n,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
75,A novel deep learning based approach for seed image classification and retrieval,https://doi.org/10.1016/j.compag.2021.106269,n,n,y,y,n,y,n,n,y,y,n,n,y,n,n,n,n,n,n
78,Bag of Features (BoF) Based Deep Learning Framework for Bleached Corals Detection,https://doi.org/10.3390/bdcc5040053,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
79,Hierarchical mapping of Brazilian Savanna (Cerrado) physiognomies based on deep learning,https://doi.org/10.1117/1.JRS.15.044504,n,n,y,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n
81,Fish classification using DNA barcode sequences through deep learning method,https://doi.org/10.3390/sym13091599,y,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n
82,Using deep learning for image-based plant disease detection,https://doi.org/10.3389/fpls.2016.01419,y,y,y,y,n,y,y,n,n,y,y,n,n,n,y,n,n,n,n
83,Investigation of different CNN-based models for improved bird sound classification,https://doi.org/10.1109/ACCESS.2019.2957572,y,n,y,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n
84,Development of spectral-phenological features for deep learning to understand Spartina alterniflora invasion,https://doi.org/10.1016/j.rse.2020.111745,n,n,n,n,n,y,n,n,y,y,n,n,y,n,n,n,n,n,n
87,Trade-off between deep learning for species identification and inference about predator-prey co-occurrence: Reproducible R workflow integrating models in computer vision and ecological statistics,https://doi.org/10.57750/yfm2-5f45,n,y,y,y,y,y,y,n,n,y,n,y,n,n,n,n,n,n,n
88,Evaluation of Deep Learning Techniques for Deforestation Detection in the Brazilian Amazon and Cerrado Biomes From Remote Sensing Imagery,https://doi.org/10.3390/rs12060910,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
91,Pollen analysis using multispectral imaging flow cytometry and deep learning,https://doi.org/10.1111/nph.16882,n,n,y,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n
92,Coral reef fish detection and recognition in underwater videos by supervised machine learning: Comparison between Deep Learning and HOG+ SVM methods,https://doi.org/10.1007/978-3-319-48680-2_15,n,n,y,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n
95,Camera Assisted Roadside Monitoring for Invasive Alien Plant Species Using Deep Learning,https://doi.org/10.3390/s21186126,n,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
96,"An alternative approach for mapping burn scars using Landsat imagery, Google Earth Engine, and Deep Learning in the Brazilian Savanna",https://doi.org/10.1016/j.rsase.2021.100472,y,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n
97,Automatic windthrow detection using very-high-resolution satellite imagery and deep learning,https://doi.org/10.3390/rs12071145,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
99,Reconstruction of damaged herbarium leaves using deep learning techniques for improving classification accuracy,https://doi.org/10.1016/j.ecoinf.2021.101243,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
100,Country-wide retrieval of forest structure from optical and SAR satellite imagery with deep ensembles,https://doi.org/10.1016/j.isprsjprs.2022.11.011,n,y,y,y,y,y,y,n,n,y,n,y,n,n,n,n,n,n,n
102,Counting sea lions and elephants from aerial photography using deep learning with density maps,https://doi.org/10.1186/s40317-021-00247-x,y,y,y,y,n,y,y,n,n,y,y,n,n,n,y,n,n,n,n
103,Going deeper in the automated identification of Herbarium specimens,https://doi.org/10.1186/s12862-017-1014-z,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
108,Forest Damage Assessment Using Deep Learning on High Resolution Remote Sensing Data,https://doi.org/10.3390/rs11171976,n,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
111,"Marine Data Prediction: An Evaluation of Machine Learning, Deep Learning, and Statistical Predictive Models",https://doi.org/10.1155/2021/8551167,n,n,y,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n
113,A deep active learning system for species identification and counting in camera trap images,https://doi.org/10.1111/2041-210X.13504,y,y,n,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
114,Deep Learning Approaches for the Mapping of Tree Species Diversity in a Tropical Wetland Using Airborne LiDAR and High-Spatial-Resolution Remote Sensing Images,https://doi.org/10.3390/f10111047,n,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
116,Hidden Biases in Automated Image-Based Plant Identification,https://doi.org/10.1109/IWOBI.2018.8464187,n,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
117,A comparison of deep learning and citizen science techniques for counting wildlife in aerial survey images,https://doi.org/10.1111/2041-210X.13165,y,y,y,y,n,y,y,n,y,y,y,n,y,n,y,n,n,n,n
118,Acoustic auto-encoders for biodiversity assessment,https://doi.org/10.1016/j.ecoinf.2021.101237,n,n,y,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n
119,"Forest Conservation with Deep Learning: A Deeper Understanding of Human Geography around the Betampona Nature Reserve, Madagascar",https://doi.org/10.3390/rs13173495,y,y,y,y,n,y,y,n,n,y,y,n,n,n,y,n,n,n,n
121,Performance of MobileNetV3 Transfer Learning on Handheld Device-based Real-Time Tree Species Identification,https://doi.org/10.23919/ICAC50006.2021.9594222,y,n,y,y,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n
125,An Efficient Approach Based on Privacy-Preserving Deep Learning for Satellite Image Classification,https://doi.org/10.3390/rs13112221,n,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
127,"Automatically identifying, counting, and describing wild animals in camera-trap images with deep learning",https://doi.org/10.1073/pnas.1719367115,n,y,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
128,A comprehensive comparison on current deep learning approaches for plant image classification,https://doi.org/10.1088/1742-6596/1873/1/012002,y,n,y,y,y,y,y,n,y,n,n,y,n,n,n,n,n,n,n
129,A new mobile application of agricultural pests recognition using deep learning in cloud computing system,https://doi.org/10.1016/j.aej.2021.03.009,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
130,Deep learning-based methods for individual recognition in small birds,https://doi.org/10.1111/2041-210X.13436,y,y,y,y,y,y,y,n,n,y,y,y,n,n,y,y,n,n,n
131,Cyber-Physical System for Environmental Monitoring Based on Deep Learning,https://doi.org/10.3390/s21113655,n,n,y,y,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n
133,High Throughput Data Acquisition and Deep Learning for Insect Ecoinformatics,https://doi.org/10.3389/fevo.2021.600931,y,y,y,y,n,y,y,n,n,y,y,n,n,n,y,n,n,n,n
137,An Automatic Method for Tree Species Point Cloud Segmentation Based on Deep Learning,https://doi.org/10.1007/s12524-021-01358-x,n,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
138,Efficiently deep learning for monitoring Ipomoea cairica (L.) sweets in the wild,https://doi.org/10.3934/mbe.2021060,n,n,y,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n
139,Long-term deep learning-facilitated environmental acoustic monitoring in the Capital Region of New York State,https://doi.org/10.1016/j.ecoinf.2021.101242,n,n,y,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n
141,Application of deep learning in aquatic bioassessment: Towards automated identification of non-biting midges,https://doi.org/10.1016/j.scitotenv.2019.135160,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
142,AI Naturalists Might Hold the Key to Unlocking Biodiversity Data in Social Media Imagery,https://doi.org/10.1016/j.patter.2020.100116,y,y,y,y,n,y,n,n,n,n,y,n,n,n,y,n,n,n,n
145,Regional Mapping and Spatial Distribution Analysis of Canopy Palms in an Amazon Forest Using Deep Learning and VHR Images,https://doi.org/10.3390/rs12142225,y,y,y,y,y,y,y,n,n,y,y,y,n,n,y,y,n,n,n
146,Deep Learning for Detecting and Classifying Ocean Objects: Application of YoloV3 for Iceberg–Ship Discrimination,https://doi.org/10.3390/ijgi9120758,y,y,y,y,y,y,y,n,n,y,y,y,n,n,y,y,n,n,n
147,"Comparing Deep Learning and Shallow Learning for Large-Scale Wetland Classification in Alberta, Canada",https://doi.org/10.3390/rs12010002,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
150,Assessing the potential for deep learning and computer vision to identify bumble bee species from images,https://doi.org/10.1038/s41598-021-87210-1,n,n,n,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
151,DEPP: Deep Learning Enables Extending Species Trees using Single Genes,https://doi.org/10.1093/sysbio/syac031,y,y,y,y,y,y,y,n,n,y,y,y,n,n,y,y,n,n,n
152,Detection of invasive vegetation through UAV and Deep Learning,https://doi.org/10.1109/LARS/SBR/WRE54079.2021.9605371,n,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
158,Assessment of Landsat Based Deep-Learning Membership Analysis for Development of from–to Change Time Series in the Prairie Region of Canada from 1984 to 2018,https://doi.org/10.3390/rs13040634,n,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
160,Deep convolutional neural networks to monitor coralligenous reefs: Operationalizing biodiversity and ecological assessment,https://doi.org/10.1016/j.ecoinf.2020.101110,n,n,y,y,y,y,y,n,n,y,n,y,n,n,n,n,n,n,n
162,Automated Visual Large Scale Monitoring of Faunal Biodiversity,https://doi.org/10.1134/S1054661821030214,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n
167,"A Novel Model Integrating Deep Learning for Land Use/Cover Change Reconstruction: A Case Study of Zhenlai County, Northeast China",https://doi.org/10.3390/rs12203314,y,n,n,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n
168,Forest Species Classification of UAV Hyperspectral Image Using Deep Learning,https://doi.org/10.1109/CAC51589.2020.9327690,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
169,Plant Species Identification from Leaf Images Using Deep Learning Models (CNN-LSTM Architecture),https://www.ajol.info/index.php/tjfnc/article/view/217008,y,n,y,y,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n
170,An Adaptive Automatic Approach to Filtering Empty Images from Camera Traps Using a Deep Learning Model,https://doi.org/10.1002/wsb.1176,n,n,n,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
175,Automatic underwater fish species classification with limited data using few-shot learning,https://doi.org/10.1016/j.ecoinf.2021.101320,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
177,Ensemble Deep Learning Models for Fine-grained Plant Species Identification,https://doi.org/10.1109/CSDE53843.2021.9718387,y,n,n,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
180,Deep Learning Algorithms Improve Automated Identification of Chagas Disease Vectors,https://doi.org/10.1093/jme/tjz065,y,y,y,y,n,y,n,n,y,n,y,n,n,n,y,n,n,n,n
184,AUTOMATIC FISH DETECTION FROM DIFFERENT MARINE ENVIRONMENTS VIDEO USING DEEP LEARNING,https://doi.org/10.5194/isprs-archives-XLVI-4-W3-2021-191-2022,n,n,n,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
185,THE EFFECT OF BACKGROUND ON A DEEP LEARNING MODEL IN IDENTIFYING IMAGES OF BUTTERFLY SPECIES,http://dx.doi.org/10.14810/elelij.2019.8101,n,n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,n,n,n
189,Detection of Seashore Debris with Fixed Camera Images using Computer Vision and Deep learning,https://doi.org/10.1109/ICIIBMS52876.2021.9651572,n,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
191,How deep learning extracts and learns leaf features for plant classification,https://doi.org/10.1016/j.patcog.2017.05.015,y,y,y,y,n,y,y,n,n,n,y,n,n,n,y,n,n,n,n
